"candidate_id","candidate_name","candidate_type","candidate_source","longitude","latitude","safe_z12","safe_z123","x_32118","y_32118"
"SCH_0094","P.S. 107 John W. Kimball","school","NYC_School_Points","-73.981181000000007","40.662945000000001","1","1","301591.500399999320507","55108.769499998539686"
"SCH_0095","The Maurice Sendak Community School","school","NYC_School_Points","-73.987601999999995","40.671145000000003","1","1","301048.396899998188019","56019.261799998581409"
"SCH_0096","P.S. 124 Silas B. Dutcher","school","NYC_School_Points","-73.990620000000007","40.667464000000002","1","1","300793.262900002300739","55610.464299999177456"
"SCH_0097","P.S. 130 The Parkside","school","NYC_School_Points","-73.976052999999993","40.648924000000001","1","1","302025.561599999666214","53551.881000000983477"
"SCH_0098","P.S. 131 Brooklyn","school","NYC_School_Points","-73.993246999999997","40.640728000000003","1","1","300571.361599996685982","52641.483600001782179"
"SCH_0099","I.S. 136 Charles O. Dewey","school","NYC_School_Points","-74.007596000000007","40.652127000000000","1","1","299357.682400003075600","53907.316399998962879"
"SCH_0100","The Brooklyn New School, P.S. 146","school","NYC_School_Points","-74.002021999999997","40.679462000000001","1","1","299829.179499998688698","56942.772199999541044"
"SCH_0101","The Windsor Terrace School","school","NYC_School_Points","-73.975966999999997","40.657001999999999","1","1","302032.589400000870228","54448.922800000756979"
"SCH_0102","P.S. 169 Sunset Park","school","NYC_School_Points","-74.001700000000000","40.645825000000002","1","1","299856.329199999570847","53207.470400001853704"
"SCH_0103","P.S. 172 Beacon School of Excellence","school","NYC_School_Points","-74.000191000000001","40.657682000000001","1","1","299983.969400003552437","54524.156300000846386"
"SCH_0104","P.S. 230 Doris L. Cohen","school","NYC_School_Points","-73.980514999999997","40.645609000000000","1","1","301648.247100003063679","53183.666000001132488"
"SCH_0105","P.S. 261 Zipporiah Mills","school","NYC_School_Points","-73.988667000000007","40.687218000000001","1","1","300958.118199996650219","57804.117899999022484"
"SCH_0107","P.S. 321 William Penn","school","NYC_School_Points","-73.978633000000002","40.671816000000000","1","1","301806.725000001490116","56093.920800000429153"
"SCH_0108","The Children's School","school","NYC_School_Points","-73.985500000000002","40.676197999999999","1","1","301226.032200001180172","56580.412300001829863"
"SCH_0109","Brooklyn Frontiers High School","school","NYC_School_Points","-73.989368999999996","40.690007000000001","1","1","300898.739500001072884","58113.822599999606609"
"SCH_0110","Global Innovators Academy","school","NYC_School_Points","-74.008105999999998","40.650793000000000","1","1","299314.534999996423721","53759.183200001716614"
"SCH_0111","Digital Arts and Cinema Technology High School","school","NYC_School_Points","-73.993292999999994","40.685006000000001","1","1","300567.094099998474121","57558.440200001001358"
"SCH_0112","M.S. 442 Carroll Gardens School for Innovation","school","NYC_School_Points","-73.983115999999995","40.656951999999997","1","1","301428.000600002706051","54443.229299999773502"
"SCH_0114","The Exploratory School","school","NYC_School_Points","-73.980266000000000","40.683951000000000","1","1","301668.349500000476837","57441.451000001281500"
"SCH_0116","The Elizabeth Jennings School for Bold Explorers","school","NYC_School_Points","-73.979648999999995","40.686498000000000","1","1","301720.442400000989437","57724.301399998366833"
"SCH_0117","John Jay School for Law","school","NYC_School_Points","-73.978579999999994","40.669255000000000","1","1","301811.275700002908707","55809.529300000518560"
"SCH_0121","Sunset Park Avenues Elementary School","school","NYC_School_Points","-74.008983999999998","40.650404000000002","1","1","299240.271300002932549","53715.993099998682737"
"SCH_0122","Cobble Hill School of American Studies","school","NYC_School_Points","-73.990883999999994","40.684868999999999","1","1","300770.738899998366833","57543.245000001043081"
"SCH_0123","West Brooklyn Community High School","school","NYC_School_Points","-73.992151000000007","40.642619000000003","1","1","300664.053900003433228","52851.481499999761581"
"SCH_0124","Khalil Gibran International Academy","school","NYC_School_Points","-73.979828999999995","40.686146999999998","1","1","301705.235399998724461","57685.320199999958277"
"SCH_0126","Sunset Park High School","school","NYC_School_Points","-74.004341999999994","40.655583000000000","1","1","299632.911899998784065","54291.077100001275539"
"SCH_0127","Red Hook Neighborhood School","school","NYC_School_Points","-74.005150999999998","40.677914000000001","0","0","299564.639300003647804","56770.881299998611212"
"SCH_0129","South Brooklyn Community High School","school","NYC_School_Points","-74.014363000000003","40.677968000000000","0","0","298785.826999999582767","56776.964699998497963"
"SCH_0130","The Little Brooklyn Pre-K Center","school","NYC_School_Points","-73.998973000000007","40.661059000000002","1","1","300086.969999998807907","54899.163699999451637"
"SCH_0132","M.S. 839","school","NYC_School_Points","-73.973363000000006","40.647598000000002","1","1","302253.126900002360344","53404.698100000619888"
"SCH_0134","The School of Creativity and Innovation","school","NYC_School_Points","-74.004306000000000","40.643017999999998","1","1","299635.887900002300739","52895.768500000238419"
"SCH_0135","P.S. 958","school","NYC_School_Points","-74.002161999999998","40.653343999999997","1","1","299817.271999999880791","54042.435300000011921"
"SCH_0136","P.S. 005 Dr. Ronald McNair","school","NYC_School_Points","-73.921970000000002","40.685240999999998","1","1","306596.313900001347065","57587.452300000935793"
"SCH_0137","P.S. 021 Crispus Attucks","school","NYC_School_Points","-73.926672999999994","40.680349999999997","1","1","306199.204999998211861","57043.974899999797344"
"SCH_0138","P.S. 025 Eubie Blake School","school","NYC_School_Points","-73.940748999999997","40.691471999999997","1","1","305008.381200000643730","58278.146800000220537"
"SCH_0139","P.S. 026 Jesse Owens","school","NYC_School_Points","-73.931700000000006","40.692100000000003","1","1","305773.203900001943111","58348.441599998623133"
"SCH_0140","M.S. 035 Stephen Decatur","school","NYC_School_Points","-73.935890999999998","40.681528000000000","1","1","305419.817400000989437","57174.177700001746416"
"SCH_0141","P.S. 040 George W. Carver","school","NYC_School_Points","-73.921098999999998","40.680239000000000","1","1","306670.443300001323223","57032.058100000023842"
"SCH_0142","Whitelaw Reid Academy of Arts and Business","school","NYC_School_Points","-73.932254000000000","40.691467000000003","1","1","305726.431199997663498","58278.112100001424551"
"SCH_0143","P.S. 081 Thaddeus Stevens","school","NYC_School_Points","-73.935123000000004","40.692866000000002","1","1","305483.810699999332428","58433.284299999475479"
"SCH_0144","P.S. 243K- The Weeksville School","school","NYC_School_Points","-73.935092999999995","40.675674999999998","1","1","305487.760899998247623","56524.265999998897314"
"SCH_0145","P.S. 262 El Hajj Malik El Shabazz Elementary Schoo","school","NYC_School_Points","-73.930132000000000","40.682949000000001","1","1","305906.550200000405312","57332.348700001835823"
"SCH_0146","M.S. 267 Math, Science & Technology","school","NYC_School_Points","-73.932066000000006","40.687970000000000","1","1","305742.623300001025200","57889.790500000119209"
"SCH_0147","P.S. 308 Clara Cardwell","school","NYC_School_Points","-73.935508999999996","40.688322999999997","1","1","305451.555699996650219","57928.770300000905991"
"SCH_0148","P.S. 309 The George E. Wibecan Preparatory Academy","school","NYC_School_Points","-73.924422000000007","40.688099999999999","1","1","306388.762599997222424","57904.755899999290705"
"SCH_0149","P.S. 335 Granville T. Woods","school","NYC_School_Points","-73.928673000000003","40.674491000000003","1","1","306030.654299996793270","56393.207699999213219"
"SCH_0150","Boys and Girls High School","school","NYC_School_Points","-73.931603999999993","40.678477999999998","1","1","305782.499399997293949","56835.756700001657009"
"SCH_0151","Brooklyn High School for Law and Technology","school","NYC_School_Points","-73.920603000000000","40.688398999999997","1","1","306711.553999997675419","57938.244800001382828"
"SCH_0152","Brighter Choice Community School","school","NYC_School_Points","-73.941277999999997","40.693654000000002","1","1","304963.504500001668930","58520.422899998724461"
"SCH_0159","Parkside Preparatory Academy","school","NYC_School_Points","-73.951575000000005","40.656422999999997","1","1","304095.452699996531010","54385.479499999433756"
"SCH_0160","Norma Adams Clemons Academy","school","NYC_School_Points","-73.956278999999995","40.648972999999998","1","1","303698.045699998736382","53557.968299999833107"
"SCH_0161","Dr. Jacqueline Peek-Davis School","school","NYC_School_Points","-73.920095000000003","40.673124000000001","1","1","306756.042499996721745","56242.031899999827147"
"SCH_0162","M.S. 061 Dr. Gladstone H. Atwell","school","NYC_School_Points","-73.949197999999996","40.663604999999997","1","1","304296.014499999582767","55183.135400000959635"
"SCH_0163","P.S. 091 The Albany Avenue School","school","NYC_School_Points","-73.940707000000003","40.661805999999999","1","1","305014.161200001835823","54983.812399998307228"
"SCH_0164","P.S. 092 Adrian Hegeman","school","NYC_School_Points","-73.953810000000004","40.656275999999998","1","1","303906.446099996566772","54369.053500000387430"
"SCH_0165","Pathways in Technology Early College High School (","school","NYC_School_Points","-73.939282000000006","40.675905000000000","1","1","305133.579300001263618","56549.552900001406670"
"SCH_0166","P.S. 138 Brooklyn","school","NYC_School_Points","-73.951559000000003","40.673943000000001","1","1","304095.730099998414516","56331.030900001525879"
"SCH_0167","P.S. 161 The Crown","school","NYC_School_Points","-73.949242999999996","40.665756999999999","1","1","304292.070799998939037","55422.107200000435114"
"SCH_0168","P.S. 181 Brooklyn","school","NYC_School_Points","-73.945882999999995","40.648217000000002","1","1","304577.391400001943111","53474.507599998265505"
"SCH_0169","P.S. 189 The Bilingual Center","school","NYC_School_Points","-73.925434999999993","40.665227999999999","1","1","306305.295199997723103","55364.803199999034405"
"SCH_0170","P.S. 191 Paul Robeson","school","NYC_School_Points","-73.924126999999999","40.671729999999997","1","1","306415.273500002920628","56086.928599998354912"
"SCH_0171","P.S. 221 Toussaint L'Ouverture","school","NYC_School_Points","-73.935753000000005","40.663964000000000","1","1","305432.914200000464916","55223.747999999672174"
"SCH_0172","P.S. 241 Emma L. Johnston","school","NYC_School_Points","-73.960924000000006","40.668913000000003","1","1","303304.183700002729893","55772.066500000655651"
