"demand_id","zone_name","time_scena","mta_norm","taxi_norm","mobility_i","x_32118","y_32118"
"TZ_55","Coney Island","morning_peak","0.838708786081000","1.000000000000000","0.919354393041000","301020.830982999992557","45561.362043499997526"
"TZ_61","Crown Heights North","morning_peak","1.000000000000000","0.343116210415000","0.671558105207000","305133.151377999980468","56391.083882999999332"
"TZ_62","Crown Heights South","morning_peak","0.882920448037000","0.137585086986000","0.510252767511000","304330.347196999995504","55510.070177399997192"
"TZ_63","Cypress Hills","morning_peak","0.827611172599000","0.116756749321000","0.472183960960000","310298.757830000016838","57437.002351800001634"
"TZ_65","Downtown Brooklyn/MetroTech","morning_peak","0.971394096303000","0.822830466638000","0.897112281471000","301176.035556000017095","58706.715266899998824"
"TZ_66","DUMBO/Vinegar Hill","morning_peak","0.759446043913000","0.196013869011000","0.477729956462000","301208.396030000003520","59475.335585599998012"
"TZ_67","Dyker Heights","morning_peak","0.000000000000000","0.000000000000000","0.000000000000000","298832.088757999998052","50298.375029599999834"
"TZ_71","East Flatbush/Farragut","morning_peak","0.780336425099000","0.116756749321000","0.448546587210000","305247.190109000017401","53039.525821399998676"
"TZ_72","East Flatbush/Remsen Village","morning_peak","0.000000000000000","0.157707241679000","0.078853620839500","306575.678123000019696","53937.489955700002611"
"TZ_76","East New York","morning_peak","0.935780829117000","0.116756749321000","0.526268789219000","310416.681470000010449","54893.539544400002342"
"TZ_77","East New York/Pennsylvania Avenue","morning_peak","0.745899663009000","0.072770205756800","0.409334934383000","308847.791314999980386","55516.092648600002576"
"TZ_80","East Williamsburg","morning_peak","0.866294210156000","0.072770205756800","0.469532207956000","305340.681006000027992","60933.081943600001978"
"TZ_85","Erasmus","morning_peak","0.740061585599000","0.116756749321000","0.428409167460000","304091.881514000007883","53241.846165399998426"
"TZ_89","Flatbush/Ditmas Park","morning_peak","0.988384324224000","0.137585086986000","0.562984705605000","303301.871554000012111","52329.030757000000449"
"TZ_91","Flatlands","morning_peak","0.000000000000000","0.116756749321000","0.058378374660700","305914.394941999984439","51039.491731499998423"
"TZ_97","Fort Greene","morning_peak","0.929145944528000","0.559146665102000","0.744146304815000","302123.149075999972411","58201.559995399999025"
"TZ_106","Gowanus","morning_peak","0.666764685056000","0.116756749321000","0.391760717189000","300790.739760999975260","56283.070711799999117"
"TZ_108","Gravesend","morning_peak","0.802750290864000","0.214278285985000","0.508514288424000","301571.956565000000410","46832.085362099998747"
"TZ_111","Green-Wood Cemetery","morning_peak","0.000000000000000","0.000000000000000","0.000000000000000","300825.938115999975707","53909.383569500001613"
"TZ_112","Greenpoint","morning_peak","0.851982286116000","0.313432689474000","0.582707487795000","304262.756565999996383","62502.218746200000169"
"TZ_123","Homecrest","morning_peak","0.702610042564000","0.095170853524100","0.398890448044000","303018.886732999992091","48115.149913499997638"
"TZ_133","Kensington","morning_peak","0.838141978876000","0.025261119408900","0.431701549142000","302013.363175000005867","52627.319375400002173"
"TZ_149","Madison","morning_peak","0.905089307639000","0.000000000000000","0.452544653819000","304389.588621000002604","48666.582358999999997"
"TZ_150","Manhattan Beach","morning_peak","0.000000000000000","0.049490880231900","0.024745440116000","304772.783964000002015","45952.827133799997682"
"TZ_154","Marine Park/Floyd Bennett Field","morning_peak","0.000000000000000","0.000000000000000","0.000000000000000","308245.345229999977164","47410.331575900003372"
"TZ_155","Marine Park/Mill Basin","morning_peak","0.000000000000000","0.049490880231900","0.024745440116000","307169.542438999982551","49743.443280699997558"
"TZ_165","Midwood","morning_peak","0.835355934329000","0.137585086986000","0.486470510657000","303653.330407999979798","50444.082994800002780"
"TZ_177","Ocean Hill","morning_peak","0.903535623570000","0.049490880231900","0.476513251901000","307301.951660000020638","56634.351676300000690"
"TZ_178","Ocean Parkway South","morning_peak","0.735822445085000","0.116756749321000","0.426289597203000","302511.049293000018224","50042.823737699996855"
"TZ_181","Park Slope","morning_peak","0.962545174863000","0.371385682522000","0.666965428693000","301571.474598000000697","55934.650559599998815"
